Row Labels,Count of Security Delay,Count of Late Aircraft Delay,Count of Airport Authority Delay,Count of Carrier Delay,,,,,,,,,,,,
1,1349,1349,1349,1349,5396,13%,,,,,,,,,,
2,1749,1749,1749,1749,6996,17%,,,,,,,,,,
3,1596,1596,1596,1596,6384,15%,,,,,,,,,,
4,1012,1012,1012,1012,4048,10%,,,,,,,,,,
5,1331,1331,1331,1331,5324,13%,,,,,,,,,,
6,1975,1975,1975,1975,7900,19%,,,,,,,,,,
7,1464,1464,1464,1464,5856,14%,,,,,,,,,,
Grand Total,10476,10476,10476,10476,41904,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
day of week,day,Security Delay,Late Aircraft Delay,Airport Authority Delay,Carrier Delay,Total Delays,% of total,,,,,,,,,
1,Sunday,5,604,790,739,2138,13%,,,,,,,,,
2,Monday,3,806,1239,710,2758,17%,,,,,,,,,
3,Tuesday,5,766,1119,637,2527,15%,,,,,,,,,
4,Wednesday,2,442,604,522,1570,9%,,,,,,,,,
5,Thursday,5,617,891,624,2137,13%,,,,,,,,,
6,Friday,7,1001,1237,866,3111,19%,,,,,,,,,
7,Saturday,7,656,925,746,2334,14%,,,,,,,,,
total,,34,4892,6805,4844,16575,100%,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Count of Date,Column Labels,,,,,,,,,,,,,,,
Row Labels,19393,19690,19790,19805,19977,20304,20355,20363,20366,20378,20398,20409,20436,20437,21171,Grand Total
 1 ,132,2,264,168,80,8,120,164,105,16,168,322,4,44,20,1617
 2 ,124,2,239,136,52,2,59,127,100,20,117,297,2,43,17,1337
 3 ,124,2,277,159,70,4,90,140,108,20,149,322,4,43,19,1531
 4 ,132,2,282,168,80,8,118,151,124,19,170,320,4,44,20,1642
 5 ,132,2,278,166,78,8,118,148,132,15,168,307,4,46,20,1622
 6 ,132,2,282,166,80,8,118,150,127,18,168,310,4,44,20,1629
 7 ,132,2,282,168,80,8,118,150,125,20,170,321,4,46,20,1646
 8 ,132,2,282,168,80,8,119,148,126,20,168,326,4,44,20,1647
 9 ,132,2,239,135,52,2,61,125,102,18,117,302,2,45,17,1351
 10 ,118,2,277,159,70,4,90,140,111,20,149,324,4,44,19,1531
 11 ,132,2,282,168,80,8,118,149,122,19,170,324,4,50,20,1648
 12 ,132,2,278,166,78,8,118,148,131,15,168,311,4,50,20,1629
 13 ,132,2,282,166,80,8,118,150,127,18,168,314,4,52,20,1641
 14 ,132,2,282,168,80,8,118,148,127,20,170,325,4,48,20,1652
 15 ,132,2,280,168,80,8,118,149,128,20,168,326,4,50,20,1653
 16 ,134,2,235,135,52,2,61,126,102,18,117,304,2,42,18,1350
 17 ,118,2,275,159,70,4,91,141,110,20,149,326,4,44,20,1533
 18 ,132,2,280,168,80,8,118,153,123,19,170,326,4,50,20,1653
 19 ,132,2,276,166,78,8,118,150,131,15,168,310,4,50,20,1628
 20 ,132,2,280,166,80,8,118,150,129,18,168,307,4,52,20,1634
 21 ,132,2,280,168,80,8,118,150,126,20,170,322,4,48,20,1648
 22 ,132,2,280,168,80,8,118,150,126,20,168,322,4,50,20,1648
 23 ,134,2,237,135,52,2,58,126,101,20,117,301,2,42,18,1347
 24 ,118,2,275,159,70,4,90,141,110,20,149,323,4,44,20,1529
 25 ,132,2,280,168,80,8,118,153,123,19,170,320,4,50,20,1647
 26 ,132,2,276,166,78,8,118,150,131,15,168,318,4,50,20,1636
 27 ,132,2,280,166,80,8,118,150,129,18,168,318,4,52,20,1645
 28 ,132,2,280,168,80,8,118,150,126,20,170,322,4,48,20,1648
 29 ,132,2,281,168,80,8,120,150,126,20,168,316,4,50,20,1645
 30 ,134,2,235,135,52,2,56,129,101,20,117,308,2,42,18,1353
 31 ,118,2,268,159,70,4,90,132,101,20,149,317,4,44,20,1498
 Grand Total ,4026,62,8424,4983,2282,198,3229,4488,3690,580,4874,9811,114,1451,606,48818
,,,,,,,,,,,,,,,,
airline name,Southwest Airlines Co.: W,Hawaiian Airlines Inc.: H,Delta Air Lines Inc.: DL,American Airlines Inc.: A,United Air Lines Inc.: UA,SkyWest Airlines Inc.: OO,US Airways Inc.: US (Merg,Pinnacle Airlines Inc.: 9,ExpressJet Airlines Inc.:,Mesa Airlines Inc.: YV,American Eagle Airlines I,JetBlue Airways: B6,Frontier Airlines Inc.: F,AirTran Airways Corporati,Virgin America: VX,
Cancelled Flights,64,0,117,77,35,10,126,236,220,25,239,47,0,24,0,
 Delayed Departures ," 2,185 ", 25 ," 2,645 "," 1,726 ", 853 , 75 , 804 ," 1,295 "," 1,435 ", 181 ," 1,367 "," 4,253 ", 47 , 581 , 265 ,
 Avg Delayed Departure , 25.11 , 16.48 , 36.29 , 33.82 , 35.26 , 34.87 , 27.60 , 43.47 , 46.87 , 41.77 , 46.21 , 40.00 , 56.64 , 38.89 , 22.24 ,
 Delayed Arrivals ," 1,777 ", 14 ," 2,782 "," 1,632 ", 800 , 77 ," 1,176 "," 1,498 "," 1,482 ", 178 ," 1,780 "," 4,564 ", 63 , 670 , 217 ,
 Avg Delayed Arrivals , 29.22 , 25.07 , 37.13 , 37.81 , 38.05 , 35.18 , 26.49 , 39.49 , 45.82 , 42.13 , 40.47 , 39.29 , 47.89 , 39.57 , 27.94 ,
% On Time Arrivals,54%,77%,66%,66%,63%,56%,60%,61%,54%,65%,59%,53%,45%,52%,64%,
 On Time\Early Arrivals ," 2,185 ", 48 ," 5,525 "," 3,274 "," 1,447 ", 111 ," 1,927 "," 2,754 "," 1,988 ", 377 ," 2,855 "," 5,200 ", 51 , 757 , 389 ,
 Total Flights ," 4,026 ", 62 ," 8,424 "," 4,983 "," 2,282 ", 198 ," 3,229 "," 4,488 "," 3,690 ", 580 ," 4,874 "," 9,811 ", 114 ," 1,451 ", 606 ,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Row Labels,Sum of Delayed/Cancelled Flights,over 800 per day,,,,,,,,,,,,,,
3/1/2013, 676 , -   ,,,,,,,,,,,,,,
3/2/2013, 520 , -   ,,,,,,,,,,,,,,
3/3/2013, 497 , -   ,,,,,,,,,,,,,,
3/4/2013, 547 , -   ,,,,,,,,,,,,,,
3/5/2013, 465 , -   ,,,,,,,,,,,,,,
3/6/2013, 877 , 1 ,,,,,,,,,,,,,,
3/7/2013, 880 , 1 ,,,,,,,,,,,,,,
3/8/2013," 1,345 ", 1 ,,,,,,,,,,,,,,
3/9/2013, 487 , -   ,,,,,,,,,,,,,,
3/10/2013, 540 , -   ,,,,,,,,,,,,,,
3/11/2013, 666 , -   ,,,,,,,,,,,,,,
3/12/2013," 1,059 ", 1 ,,,,,,,,,,,,,,
3/13/2013, 564 , -   ,,,,,,,,,,,,,,
3/14/2013, 654 , -   ,,,,,,,,,,,,,,
3/15/2013, 643 , -   ,,,,,,,,,,,,,,
3/16/2013, 599 , -   ,,,,,,,,,,,,,,
3/17/2013, 510 , -   ,,,,,,,,,,,,,,
3/18/2013," 1,068 ", 1 ,,,,,,,,,,,,,,
3/19/2013, 994 , 1 ,,,,,,,,,,,,,,
3/20/2013, 598 , -   ,,,,,,,,,,,,,,
3/21/2013, 690 , -   ,,,,,,,,,,,,,,
3/22/2013, 591 , -   ,,,,,,,,,,,,,,
3/23/2013, 676 , -   ,,,,,,,,,,,,,,
3/24/2013, 702 , -   ,,,,,,,,,,,,,,
3/25/2013, 881 , 1 ,,,,,,,,,,,,,,
3/26/2013, 381 , -   ,,,,,,,,,,,,,,
3/27/2013, 401 , -   ,,,,,,,,,,,,,,
3/28/2013, 406 , -   ,,,,,,,,,,,,,,
3/29/2013, 332 , -   ,,,,,,,,,,,,,,
3/30/2013, 269 , -   ,,,,,,,,,,,,,,
3/31/2013, 412 , -   ,,,,,,,,,,,,,,
Grand Total,19930,31,,,,,,,,,,,,,,
